,index,fonction,cat,grade,Echelon,durée,Indice Brut,Indice majoré,salaire brut,indice majoré calculé
269,270,Secrétaire administratif  du Ministère de la Transition écologique et solidaire,B,2,2,inf,399,362,1696.34,362.0
270,271,Secrétaire administratif  du Ministère de la Transition écologique et solidaire,B,2,3,inf,415,369,1729.14,369.0
271,272,Secrétaire administratif  du Ministère de la Transition écologique et solidaire,B,2,4,inf,429,379,1776.0,379.0
272,273,Secrétaire administratif  du Ministère de la Transition écologique et solidaire,B,2,5,inf,444,390,1827.55,390.0
273,274,Secrétaire administratif  du Ministère de la Transition écologique et solidaire,B,2,6,inf,458,401,1879.1,401.0
274,275,Secrétaire administratif  du Ministère de la Transition écologique et solidaire,B,2,7,inf,480,416,1949.39,416.0
275,276,Secrétaire administratif  du Ministère de la Transition écologique et solidaire,B,2,8,inf,506,436,2043.11,436.0
276,277,Secrétaire administratif  du Ministère de la Transition écologique et solidaire,B,2,9,inf,528,452,2118.08,452.0
277,278,Secrétaire administratif  du Ministère de la Transition écologique et solidaire,B,2,10,inf,542,461,2160.26,461.0
278,279,Secrétaire administratif  du Ministère de la Transition écologique et solidaire,B,2,11,inf,567,480,2249.29,480.0
279,280,Secrétaire administratif  du Ministère de la Transition écologique et solidaire,B,2,12,inf,599,504,2361.76,504.0
280,281,Secrétaire administratif  du Ministère de la Transition écologique et solidaire,B,2,13,inf,638,534,2502.34,534.0
281,282,Secrétaire administratif  du Ministère de la Transition écologique et solidaire,B,3,1,inf,372,343,1607.31,343.0
282,283,Secrétaire administratif  du Ministère de la Transition écologique et solidaire,B,3,2,inf,379,349,1635.42,349.0
283,284,Secrétaire administratif  du Ministère de la Transition écologique et solidaire,B,3,3,inf,388,355,1663.54,355.0
284,285,Secrétaire administratif  du Ministère de la Transition écologique et solidaire,B,3,4,inf,397,361,1691.66,361.0
